Cycle,0.756363636364
Average Width,24.6927444363
Width,,18.1814460686,20.2336276334,9.73615305064,25.2849637739,0,15.0362858116,25.1301783837,9.92374323297,12.0843072133,31.8471931902,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,13.3411880358,26.7438080159,88.7700388253,0
Point2,H1,(9.4743655129 28),(9.08548591696 165),(10.1595315129 293),(9.54513965002 435),(11.5650886776 585),(11.1764625344 745),(11.1807015877 902),(12.0468586921 1039),(12.793141241 1180),(13.6281429941 1352),(13.1636927094 1535),(8.99653139186 1716),(10.8531022753 1893),(11.4836484271 2068),(10.0133841785 2232),(10.4558604649 2376),(10.2845326048 2538),(10.9361029595 2705),(11.5498158356 2874),(10.4222618279 3019),(12.3689434409 3167),(12.3743566632 3337),(10.2155962261 3490),
Point2,H2,,,(5.91803840645 319),,,,,(6.94127224286 1079),,(10.675862863 1396),,(5.4781075363 1748),(7.25285255049 1929),,(5.84998104759 2278),,(5.25368406674 2587),,,(4.23036285016 3059),(8.38854938454 3207),,
Point2,H3,,,(6.24973941364 330),,,,,(6.95584673245 1083),,(10.8315434383 1407),,(6.34678886429 1766),(7.3634108378 1938),,(5.90445555339 2285),,(5.28004076126 2593),,,(5.11054008286 3076),(8.97061660311 3221),,
Point2,H4,(4.84756358709 69),(4.55860893748 200),(1.90789357403 375),,(5.60752032705 633),(5.53320547635 794),(5.44857889403 935),(3.30111733413 1128),(6.94216456189 1223),(3.87317554019 1482),(9.09426440062 1576),(2.14697745634 1827),(2.96809086072 2002),(5.41358724894 2121),(2.80763768552 2312),(6.36217890627 2417),(1.50783453193 2645),(7.141636491 2743),(5.23516388539 2923),(1.68328469152 3110),(2.98165418992 3270),,
Point2,H5,(5.97737080345 85),(4.72540302215 210),(2.22742010642 385),,(5.61353300712 637),(5.53896377339 798),(6.65032435931 961),(3.32602355149 1133),(7.53788367806 1237),(3.87878105428 1484),(9.24879178394 1586),(2.33784043405 1837),(3.26907549845 2013),(5.4655176154 2128),(2.97862597391 2320),(7.18784392203 2436),(1.8440253359 2656),(7.31556692253 2756),(5.23614475437 2925),(2.2995597573 3121),(3.16683611572 3279),,
Point2,H6,(-2.6645352591e-15 131),(-0.00371250267178 258),(-3.5527136788e-15 403),(6.2172489379e-15 549),(-0.00164631691052 713),(-1.7763568394e-14 866),(-8.881784197e-15 1010),(-1.7763568394e-15 1153),(-5.3290705182e-15 1313),(0.0 1506),(3.5527136788e-15 1682),(1.7763568394e-15 1858),(1.7763568394e-15 2035),(-3.5527136788e-15 2195),(0.0 2341),(-1.7763568394e-15 2505),(-0.00415098242139 2673),(8.881784197e-15 2846),(1.33226762955e-15 2991),(3.5527136788e-15 3138),(-0.00712096412683 3302),(7.9936057773e-15 3458),
Point3,H1,(11.5308504597 28),(11.4752502711 164),(12.4273993345 295),(12.897467809 435),(14.9418023804 584),(14.2372915734 745),(14.3241002641 902),(14.5480105668 1038),(15.5350639448 1180),(16.5480189753 1350),(15.7700043884 1533),(12.8247796413 1716),(14.5318454427 1892),(14.5637737135 2068),(12.6718658626 2230),(13.4450077019 2375),(13.8510616979 2538),(14.3943392288 2705),(14.8969737323 2873),(13.5668073244 3018),(15.0739581908 3166),(15.8944439532 3335),(14.3801988691 3489),
Point3,H2,,,,,(6.75171315934 633),,,(7.53752655924 1078),(7.71460909853 1223),(10.9042791696 1394),,(7.45271032322 1753),,,,,(6.6295653504 2583),,,(5.9389295842 3058),(9.01905211279 3206),,
Point3,H3,,,,,(6.7778860346 638),,,(7.94923033529 1089),(8.30269990219 1236),(10.9859915983 1404),,(7.47977322636 1759),,,,,(6.84422617384 2594),,,(6.59899119335 3072),(9.65817825472 3219),,
Point3,H4,(6.03749670841 68),(5.83319989553 198),,,(0.407166290198 699),(6.37850511873 789),(6.57682137532 933),(3.59375005492 1126),(3.01116601909 1286),(4.26068229541 1478),(10.5512555318 1575),(2.83282960545 1824),(3.97867375574 2001),(6.67445920489 2120),(6.18021758772 2276),(6.88378145199 2414),(2.0971566192 2645),(8.56695952508 2745),,(2.47290668045 3109),(2.77188616063 3271),,
Point3,H5,(7.46706281797 83),(6.0213406033 208),,,(0.43005223663 703),(6.90629606403 801),(7.54888717328 954),(3.75788805696 1133),(3.0231789184 1290),(4.27352492676 1482),(10.7335441396 1584),(3.15944240578 1836),(4.33104928458 2012),(6.67458576734 2121),(6.25837517749 2285),(7.52588555273 2432),(2.39165008485 2655),(8.70003279292 2754),,(2.77010875683 3119),(2.82593095435 3277),,
Point3,H6,(-2.6645352591e-15 130),(2.6645352591e-15 259),(8.881784197e-15 401),(9.7699626167e-15 548),(-6.2172489379e-15 715),(-0.000619289590598 864),(-1.50990331349e-14 1008),(-1.24344978758e-14 1153),(-1.7763568394e-15 1313),(-3.5527136788e-15 1505),(-0.000925263244169 1682),(-8.881784197e-16 1857),(-8.881784197e-16 2034),(0.0 2195),(-5.3290705182e-15 2339),(-1.24344978758e-14 2505),(-8.881784197e-15 2672),(-0.00173855383659 2846),(-7.9936057773e-15 2990),(-4.4408920985e-15 3136),(-4.4408920985e-15 3300),(-4.4408920985e-15 3457),
