Cycle,0.706015625
Average Width,6.2140400003
Width,,5.44273666438,6.41480412229,7.98573453711,6.25876827789,6.14724519756,6.11308874054,5.82447361545,5.24497029336,6.41139877726,5.5717133606,5.54295160045,5.26925571231,6.1560024297,5.87260056056,6.06128301869,6.63224764682,6.86455167893,5.5542988388,5.91192991213,5.7804699679,5.81203572359,5.43736209281,5.447059864,5.71940331451,5.47494093516,5.7161081005,6.13965566167,6.1772489962,7.23911738986,6.24471229638,6.22189987922,6.7247836141,6.60286860767,7.01761187225,6.81772990108,6.67516343784,6.32906772522,6.54315361172,7.32070873758,6.00025215824,5.61352528618,6.3099508666,6.91622050209,6.37306157551,7.99350031454,7.86486573068,6.38018343376,6.00410917172,4.31113426132
Point1,H5,(3.12680877521 127),(2.553332298 270),(2.08805865632 414),(2.31717028395 539),,(2.20523645451 814),(2.43476728142 944),(2.3271665354 1086),,(2.96143617975 1358),(2.46940976039 1487),,(2.20696462367 1760),(1.78963711848 1891),(2.89826660589 2028),(2.38384477631 2162),(2.95196891237 2301),,,(1.8333545721 2701),,(1.62919196523 2954),,(2.2908006066 3243),(4.09537853993 3387),(2.20550288656 3534),(3.01692032024 3693),(4.15922694066 3849),(3.4430744736 4013),(3.24699183224 4175),(4.41729893435 4333),(4.54489821811 4467),(2.32413967959 4638),(3.95116786108 4796),,,,(2.95047995466 5373),(3.51736492881 5514),(4.23254712303 5678),(3.87480902754 5839),,(3.32586119465 6159),(9.49203930462 6257),(2.9086894499 6460),(3.17608015378 6601),(4.06263358072 6762),(3.29601060888 6910),,
Point1,H6,(-0.00779073518657 1),(-0.00291302059651 147),(-0.00997665605206 288),(-3.5527136788e-15 430),(-0.0132632274769 563),(-5.3290705182e-15 673),(-7.9936057773e-15 831),(-1.7763568394e-14 963),(-3.19744231092e-14 1103),(-1.33226762955e-14 1237),(-2.6645352591e-15 1376),(-1.7763568394e-15 1507),(0.0 1641),(9.7699626167e-15 1776),(3.5527136788e-15 1909),(1.06581410364e-14 2048),(2.6645352591e-15 2185),(-3.5527136788e-15 2322),(0.0 2451),(1.59872115546e-14 2584),(5.3290705182e-15 2718),(-1.59872115546e-14 2845),(-8.881784197e-16 2973),(5.3290705182e-15 3113),(1.42108547152e-14 3262),(1.7763568394e-15 3409),(1.33226762955e-14 3564),(-0.00499048752237 3716),(3.01980662698e-14 3873),(1.24344978758e-14 4034),(8.881784197e-15 4195),(-1.7763568394e-15 4354),(-0.0107437705526 4511),(-1.42108547152e-14 4662),(-1.06581410364e-14 4817),(-5.3290705182e-15 4974),(-2.13162820728e-14 5119),(0.0 5253),(-0.00684754877002 5394),(2.48689957516e-14 5547),(1.95399252334e-14 5697),(1.95399252334e-14 5857),(1.95399252334e-14 6015),(1.33226762955e-14 6176),(1.95399252334e-14 6335),(1.95399252334e-14 6480),(1.7763568394e-15 6633),(-3.5527136788e-15 6784),(-0.0117472617728 6929),
Point2,H1,(15.0761596272 29),(15.6312050646 179),(15.5466477959 320),(17.7886836251 460),(15.7192116245 596),(13.9610396333 728),(16.4771128309 860),(15.6171323144 994),(16.4129575757 1131),(16.0524730154 1270),(15.8216567329 1407),(15.3338894577 1540),(15.2525048906 1673),(16.8912534229 1805),(17.0906316255 1943),(17.1502469534 2077),(14.9519342847 2216),(16.3066664854 2355),(16.3877889192 2485),(17.5424955088 2617),(16.345714851 2748),(15.2038926313 2875),(16.3510227082 3004),(18.5293368201 3145),(17.5260190414 3291),(17.6925624311 3440),(19.4912823982 3595),(18.240105538 3752),(24.8037810234 3910),(20.8667528106 4069),(19.0074734301 4231),(18.2782773293 4388),(18.472776583 4540),(18.7187371426 4696),(20.1989905107 4854),(20.7326149402 5003),(18.3586013288 5148),(18.024477235 5288),(22.1000444878 5431),(19.9532712303 5577),(18.603599407 5728),(21.2520619668 5891),(20.4486970404 6048),(19.0953746306 6207),(21.1832584053 6365),(18.3896894809 6514),(18.9756222489 6665),(17.9975921543 6813),(17.733024317 6959),
Point2,H2,,(5.36540821366 208),(5.32278456545 349),(8.48694570223 494),(5.91842822559 625),(5.54947019609 755),(6.51636003329 897),(4.81065506174 1028),,(7.19311123105 1298),(6.08118376095 1435),(4.10981132109 1571),(5.95721646657 1702),(7.28745609305 1838),(7.65366847964 1971),(7.50323123267 2111),(5.80474968693 2244),(6.8524150318 2384),,,,(6.48129071727 2907),(6.29813191405 3042),,(8.43891053114 3326),(7.67746667111 3478),,(9.81567342466 3781),,,(10.9324162107 4263),(9.38164459725 4423),,(10.1648126525 4736),(10.4305131548 4891),,(8.10376602173 5190),(8.69728118671 5319),,(8.18346116698 5613),,,(12.4491820498 6081),,,(8.36874383287 6550),(8.78853529597 6700),,
Point2,H3,,(5.69204241548 217),(6.40859147635 363),(8.53307640561 499),(6.3296634094 635),(6.25276073118 769),(6.70648175806 906),(5.01454078694 1036),,(7.4268753691 1306),(6.97257406275 1448),(5.08140465232 1586),(6.38975934754 1715),(7.454113678 1845),(8.96208764626 1985),(7.73502076988 2120),(6.75898907499 2260),(7.29616197971 2394),,,,(6.57120305213 2914),(6.31555542822 3046),,(8.58588424818 3333),(7.81345584178 3486),,(11.0467086058 3796),,,(11.2298935448 4274),(9.54390381743 4432),,(10.7094521005 4749),(10.4421550808 4894),,(8.10414703797 5191),(8.92971068302 5329),,(8.57157846506 5624),,,(12.479683201 6085),,,(8.81661624505 6563),(8.91289596644 6708),,
Point2,H4,(2.439602045 109),(2.10484494073 254),(2.62110269923 403),(3.35136478026 534),,(1.20127198957 801),(2.77213047753 932),(1.74065959083 1067),,(1.65587142814 1344),(1.97902373632 1477),,(1.71079443087 1746),(2.63715574568 1876),(2.70514591963 2015),,(2.65507724492 2288),,,(2.16872706523 2693),,,,,(4.14281122888 3378),(1.38076180432 3517),(2.83296174935 3681),(4.27714573232 3841),(4.9064380633 4003),(2.39945068575 4163),(4.87042670056 4325),(4.19726321584 4486),(1.91634122549 4629),(2.29689425377 4788),,(2.52576332351 5094),,(3.57813813875 5363),(3.73025602619 5508),(3.38824266444 5664),,,(3.70195046089 6147),(10.1097882365 6241),(3.20237046089 6447),(3.5693455388 6598),(4.6303832414 6753),,
Point2,H5,(3.99224107923 127),(3.89667523824 271),(2.99239319965 413),(3.36081200038 537),,(2.56442051625 816),(3.83987981748 945),(2.90398944791 1085),,(2.87948127887 1359),(2.28466860574 1488),,(2.73662207478 1759),(2.80942987445 1885),(3.66028863181 2029),,(3.33960119071 2301),,,(2.27654414108 2700),,,,,(4.59291526046 3389),(1.85284055603 3529),(3.61812509872 3695),(4.92686192696 3853),(5.06513335769 4011),(3.18514983691 4176),(5.06956666585 4333),(4.20995083506 4489),(1.92999163859 4633),(3.00545037412 4800),,(2.57433348985 5100),,(3.96499911325 5373),(3.86280707699 5516),(3.98816275992 5677),,,(3.97330788162 6157),(11.4288412237 6258),(3.64117389738 6459),(3.58103429666 6601),(4.71874537371 6760),,
Point2,H6,(2.6645352591e-15 147),(2.30926389122e-14 290),(1.95399252334e-14 431),(1.68753899743e-14 563),(7.1054273576e-15 696),(0.0 832),(-2.6645352591e-15 963),(-4.4408920985e-15 1103),(4.4408920985e-15 1236),(-2.39808173319e-14 1376),(-1.24344978758e-14 1507),(-4.4408920985e-15 1641),(-5.3290705182e-15 1776),(-1.15463194561e-14 1909),(-8.881784197e-15 2048),(-6.2172489379e-15 2186),(3.5527136788e-15 2322),(-5.3290705182e-15 2451),(-1.68753899743e-14 2584),(-1.24344978758e-14 2718),(-4.4408920985e-15 2844),(6.2172489379e-15 2973),(-1.7763568394e-15 3112),(3.5527136788e-15 3262),(-1.7763568394e-15 3409),(1.06581410364e-14 3563),(0.0 3716),(1.33226762955e-14 3874),(-7.1054273576e-15 4034),(8.881784197e-15 4195),(-6.2172489379e-15 4354),(3.5527136788e-15 4512),(5.3290705182e-15 4660),(-0.00383992274152 4818),(2.13162820728e-14 4973),(5.3290705182e-15 5118),(9.7699626167e-15 5253),(-0.0084495716498 5394),(5.3290705182e-15 5547),(1.06581410364e-14 5696),(8.881784197e-16 5857),(3.5527136788e-15 6016),(-3.5527136788e-15 6176),(-1.59872115546e-14 6335),(-1.24344978758e-14 6480),(0.0 6633),(3.5527136788e-15 6784),(8.881784197e-16 6928),
Point3,H1,(10.6180900445 28),(12.5781315014 179),(13.5969426299 319),(14.3029174778 459),(12.3953302727 595),(10.9625963999 727),(13.0655739166 860),(11.462134407 995),(13.4635236124 1130),(12.6977793586 1269),(12.41228298 1406),(12.058420743 1539),(12.7505120846 1672),(12.810978485 1804),(13.5122366285 1944),(14.8958177708 2076),(12.8461785704 2214),(12.0978082291 2353),(12.6468227601 2485),(13.0621170314 2617),(12.3132355646 2748),(10.752393778 2875),(11.6993135561 3003),(13.4290082891 3146),(12.4509173939 3290),(13.3809004562 3440),(15.4466038852 3595),(14.3024603098 3752),(21.8690926875 3910),(16.0000065211 4069),(14.7669060336 4231),(14.3068558689 4388),(14.5760810062 4540),(15.0245668739 4696),(16.3852230489 4854),(16.315461302 5003),(13.9992412153 5148),(13.9655789707 5287),(18.3234439768 5430),(16.1104696625 5577),(14.6236341106 5727),(17.0970687297 5892),(16.8581531511 6048),(16.1547867138 6206),(18.7380144408 6364),(15.9381108209 6511),(15.0816184254 6664),(13.4954087671 6812),(10.2644576964 6957),
Point3,H2,,,(5.10190142667 351),,(4.66582905709 624),(4.27595814562 755),(5.14511224536 896),(3.50698579423 1026),,(6.08307499661 1296),(5.22535235663 1437),(3.71617263627 1568),,(5.96081763425 1839),(6.56335648522 1971),(6.31014053686 2116),(3.94668968427 2242),(5.25310781903 2381),,,,(5.49743404354 2906),(4.35040078511 3041),(6.72687607031 3182),(6.47424095926 3327),,,(9.07636858413 3779),,,(9.51786685456 4263),(7.88702588799 4421),,(8.42514013985 4735),(8.58601641631 4886),,,(6.80773928961 5319),,(6.22707129136 5613),,,(12.3772526951 6080),,,,(7.62836642155 6697),,
Point3,H3,,,(5.45325920776 361),,(5.02517824874 635),(4.674368905 769),(5.57245784098 908),(3.70342474343 1034),,(6.19847283022 1303),(5.99885454138 1450),(4.78098142191 1584),,(6.01530816564 1844),(7.86679971851 1986),(6.33017661687 2120),(5.64417334298 2260),(5.71461956186 2392),,,,(5.54422944053 2913),(4.46190174809 3048),(6.74007509924 3186),(6.48869923327 3331),,,(10.2363876146 3794),,,(9.55476766072 4270),(8.21599275107 4433),,(9.26479035433 4750),(8.93480825697 4897),,,(6.92624846599 5329),,(6.74079037267 5625),,,(12.466928166 6087),,,,(7.93745269437 6708),,
Point3,H4,(2.01290722763 109),(2.5906944017 243),(2.39374892534 404),,(0.357955704316 676),(1.30101026547 800),(2.77563484738 930),(-0.0690589470486 1064),,(1.45663121576 1345),(0.862541356375 1477),,(2.87465063436 1747),(1.63781063526 1876),(2.43319984336 2016),,(2.39355382541 2284),,,(1.40131263116 2693),,,(1.07007802183 3078),(2.06029086507 3229),(3.63198937197 3378),,(2.40734500009 3679),(3.93193108535 3840),(4.18690035754 4002),(1.59833511475 4162),(4.49922239995 4325),(4.59039772293 4463),(1.77771572324 4632),(1.91030904589 4787),,(2.14990098166 5093),,(2.51035166878 5363),(3.2953672037 5508),(3.3660849304 5660),(1.55079263013 5801),,(3.94318942019 6150),(9.24275522544 6241),(2.77354368864 6442),(7.88955691679 6549),(3.95670738385 6754),,
Point3,H5,(3.22017247666 126),(4.17986489033 267),(2.49541337649 411),,(0.434442196453 685),(2.3199461289 814),(4.03451854001 944),(1.72965755787 1085),,(2.68243658927 1360),(1.62829517186 1490),,(2.88469985665 1751),(2.31644452084 1889),(3.29197059833 2029),,(3.7725317067 2301),,,(1.4210866748 2698),,,(1.39419628318 3091),(2.39993999729 3242),(3.82050742709 3387),,(2.94544911426 3693),(4.43703406974 3852),(4.26626716964 4008),(2.15946811519 4175),(4.57763583502 4331),(4.71525312836 4472),(1.77908018849 4634),(2.47088720952 4799),,(2.1774814198 5098),,(2.82490413229 5373),(3.46642960471 5518),(3.78148143967 5673),(3.30439423557 5837),,(4.04176777446 6156),(10.8083468476 6259),(4.03972046212 6460),(8.01288733848 6559),(3.9821889209 6759),,
Point3,H6,(-0.00244898117467 147),(-0.0118939234751 288),(-4.4408920985e-15 430),(0.0 562),(-7.1054273576e-15 697),(-9.7699626167e-15 831),(-8.881784197e-15 964),(-0.0690589470486 1064),(5.3290705182e-15 1234),(-1.95399252334e-14 1377),(-1.86517468137e-14 1507),(6.2172489379e-15 1641),(1.33226762955e-14 1774),(1.68753899743e-14 1909),(7.9936057773e-15 2048),(-0.00539922219643 2184),(3.5527136788e-15 2323),(4.4408920985e-15 2450),(-1.95399252334e-14 2583),(1.06581410364e-14 2717),(-7.1054273576e-15 2845),(-2.6645352591e-15 2973),(7.1054273576e-15 3111),(-1.15463194561e-14 3262),(1.24344978758e-14 3408),(-0.00935507927433 3562),(7.9936057773e-15 3716),(1.15463194561e-14 3874),(-0.00639894032977 4033),(2.48689957516e-14 4194),(-4.4408920985e-15 4354),(-1.24344978758e-14 4511),(-0.00322537259988 4660),(2.6645352591e-15 4817),(-8.881784197e-16 4972),(-1.68753899743e-14 5118),(-0.00972512342504 5252),(-3.64153152077e-14 5394),(-1.95399252334e-14 5546),(-0.00681777439598 5696),(8.881784197e-16 5856),(-0.0157543463395 6015),(-1.7763568394e-15 6176),(5.3290705182e-15 6334),(2.6645352591e-15 6480),(1.7763568394e-15 6632),(-5.3290705182e-15 6783),(-0.565633680662 6928),
