Cycle,0.689576923077
Average Width,6.77983140107
Width,,6.7340938672,7.09317557002,6.45853730162,6.02983914732,7.15302178072,6.31611057538,6.65044036826,6.39880041274,6.0990552735,7.68994571811,7.19207210506,6.79413225755,6.81328135074,6.57424154351,6.57852928228,6.51933291818,6.96842825669,6.60038572314,6.95688030164,6.06288097961,7.14721641021,7.5700525379,7.23255118843,7.08886831965,7.07851395445,7.33041178943,7.37051547228
Point2,H6,(-1.86517468137e-14 138),(-2.04281036531e-14 282),(-7.9936057773e-15 430),(-8.881784197e-16 559),(-3.5527136788e-15 710),(-1.59872115546e-14 854),(-0.00457793101795 1000),(-1.06581410364e-14 1154),(-3.5527136788e-15 1302),(8.881784197e-15 1448),(7.1054273576e-15 1591),(-0.215500431951 1699),(-0.0150949854462 1880),(0.0 2033),(-0.00415848830217 2176),(-0.00319616136725 2314),(-3.5527136788e-15 2455),(8.881784197e-16 2595),(-3.5527136788e-15 2741),(-0.737600550048 2886),(1.15463194561e-14 3025),(-0.0214149253434 3156),(-3.5527136788e-15 3304),(-5.3290705182e-15 3446),(-4.4408920985e-15 3591),(-0.459783158842 3729),
Point3,H1,(18.0376547441 31),(19.0781395074 173),(18.9474124319 318),(17.8449957156 462),(17.7445379939 605),(18.1784291402 745),(19.1724083341 885),(16.8259536245 1033),(17.6439952281 1184),(19.5836306221 1337),(17.0144075309 1482),(18.3380320243 1624),(19.8545336979 1771),(17.5929301105 1918),(18.2719699828 2063),(15.7867929408 2207),(15.5116088222 2347),(16.552983466 2485),(20.0336936682 2626),(19.2030103881 2769),(15.9546773374 2916),(18.3522491452 3057),(21.467190203 3198),(17.4354419416 3338),(17.5952566536 3481),(16.5517994999 3621),(16.5715246319 3760),
Point3,H2,,,,,,(6.89613803995 783),,,,,,,,,,(5.83190077986 2244),,,,,,,(9.97797384175 3232),,,,
Point3,H3,,,,,,(6.91431144541 787),,,,,,,,,,(5.87851348241 2251),,,,,,,(10.1363119 3240),,,,
Point3,H4,(0.595408510189 110),(2.12259225615 251),,(4.9622328566 499),(3.21368917539 687),(0.862825610365 826),(1.71898479274 969),,(1.06797986012 1274),(2.88930422029 1417),(3.15871493321 1562),(-0.370967729319 1698),(1.35965747856 1849),,,(1.49062349945 2283),(-0.00685406177679 2421),,(8.91258903956 2666),(-0.0163454336564 2857),(0.323663285803 3005),,(2.21286849023 3277),(1.06516119289 3421),(2.34660586312 3565),,
Point3,H5,(0.657430561314 117),(2.30501038483 259),,(5.09886059309 506),(3.22490418091 690),(1.78685630177 840),(2.73272530008 983),,(1.27126586933 1285),(3.2344277628 1428),(3.40316886343 1571),(2.98964047309 1719),(1.46365467992 1857),,,(1.89484630551 2295),(2.37844577175 2440),,(9.02078314581 2673),(1.45482433093 2872),(0.604589102333 3015),,(2.7139433372 3287),(1.70902191226 3432),(2.62239733299 3574),,
Point3,H6,(-0.00296165455583 136),(1.15463194561e-14 282),(4.4408920985e-15 431),(-0.00103824979251 557),(7.1054273576e-15 712),(2.6645352591e-15 854),(0.0 1000),(-9.7699626167e-15 1154),(-0.00849554539568 1300),(0.0 1448),(1.7763568394e-15 1591),(-0.370967729319 1698),(-0.00708796709579 1878),(1.7763568394e-15 2033),(-4.4408920985e-15 2177),(-8.881784197e-16 2313),(-0.00685406177679 2421),(8.881784197e-15 2595),(8.881784197e-15 2741),(-0.345094334483 2886),(1.1990408666e-14 3026),(-0.0191453740732 3155),(0.0 3304),(2.6645352591e-15 3447),(0.0 3591),(-0.00473200939946 3729),
Point4,H1,(12.5444962209 29),(14.1791682843 171),(11.6398104798 314),(10.085805305 460),(12.6227965835 601),(11.3705969909 742),(12.7011970576 882),(11.2452504471 1030),(10.40985424 1183),(15.1913168444 1335),(12.3373882162 1480),(12.9474019735 1619),(13.2758406153 1768),(11.1842625603 1914),(11.6670157476 2062),(10.1310794761 2204),(11.3002043142 2344),(11.2118631801 2482),(13.9767707662 2623),(10.5776991421 2766),(11.0492754813 2913),(14.7463636091 3055),(16.9509600921 3195),(12.9571603707 3336),(13.1777975347 3477),(12.6034423467 3617),(12.9143454944 3757),
Point4,H2,,,,,(4.7565005135 632),,(4.61208210498 920),,(2.82568943047 1218),(7.95982655242 1361),(4.71802693846 1513),(5.63208798449 1660),,(8.59950723854 1937),,(2.88699236023 2249),(2.49521375763 2375),,(5.94701541064 2664),,(3.99070085063 2954),,,,(5.32065495728 3509),,
Point4,H3,,,,,(5.06536698465 645),,(5.0649806229 932),,(2.95703771399 1225),(8.29786615029 1370),(6.01587072811 1528),(5.63969195931 1663),,(8.67496111727 1944),,(2.93401946042 2255),(2.52572643398 2380),,(6.05433318896 2671),,(4.0060118079 2958),,,,(5.68169297303 3521),,
Point4,H4,(1.9182707282 105),(1.568856477 251),(1.13222857759 393),(3.5527136788e-15 533),(1.19833208113 680),(1.33327705722 823),(0.790182578858 962),(1.10311195409 1124),(-0.425536023781 1265),(2.96926040468 1419),(2.73185531791 1558),(0.426975507075 1700),,(1.74983445986 1996),,(-7.54951656745e-15 2280),(5.3290705182e-15 2419),,(1.80269101033 2697),(-0.0019922501813 2845),(0.916491564036 2996),(5.89141797314 3093),,,(1.78842170736 3558),,
Point4,H5,(2.0901559487 114),(1.76447440375 260),(1.73588826537 408),(1.10115831325 551),(1.37351020836 690),(1.38330829189 830),(1.75363535593 979),(1.12150103435 1129),(1.08361492464 1285),(2.97790675552 1422),(2.83519584597 1566),(1.19491090621 1716),,(1.87836327835 2005),,(0.99515690466 2296),(1.27846361854 2437),,(3.45054438056 2715),(1.85536027448 2868),(1.57105392944 3011),(6.20538493347 3104),,,(2.59884069269 3571),,
Point4,H6,(-5.3290705182e-15 135),(-5.3290705182e-15 278),(-3.99680288865e-15 429),(3.5527136788e-15 533),(-9.7699626167e-15 708),(-0.00751869549326 849),(-0.00248728837221 997),(-7.1054273576e-15 1152),(-0.425536023781 1265),(2.6645352591e-15 1446),(5.3290705182e-15 1588),(-0.005566792632 1731),(-0.0104803139546 1873),(3.10862446895e-15 2027),(-1.33226762955e-14 2172),(-7.54951656745e-15 2280),(5.3290705182e-15 2419),(8.881784197e-16 2588),(-0.00889275488262 2738),(-0.088399455014 2884),(-3.10862446895e-15 3026),(-0.0187182855401 3156),(-0.000148321602515 3301),(-4.4408920985e-15 3441),(-0.000130387951748 3589),(0.0 3721),
