Cycle,0.964185185185
Average Width,5.84843759129
Width,,6.01897014346,5.88548975059,5.73364623239,5.94522948001,5.83037286373,5.82187159006,6.15003884577,5.98343086917,5.95851073682,5.99593917082,5.85243915608,5.98767697208,5.95148138417,5.88093447432,6.14689969031,5.68913258198,5.93239692527,5.77900114172,5.73489892451,5.81900508004,5.93338958724,5.92008271486,5.79100274102,5.81013038664,5.85137055389,5.76834352879,5.09816841237,5.56707692624
Point1,H5,,(1.70871791976 395),(8.39500706559 498),(3.03036392754 797),(2.7283106735 1005),(1.198865032 1209),(1.67161897127 1401),(2.87858745978 1611),,(3.52832510519 1986),(4.25752950847 2165),(0.421341084532 2430),(0.709591119176 2625),(1.35468490005 2831),,(2.47010180413 3224),,,,(4.38118906839 3992),(2.13515655506 4235),,(4.82116468228 4577),(2.58744235705 4839),,,(2.40884980321 5406),,
Point1,H6,(-7.1054273576e-15 204),(-1.24344978758e-14 411),(-1.24344978758e-14 612),(-2.13162820728e-14 814),(-1.86517468137e-14 1022),(-1.06581410364e-14 1226),(-0.00453787266014 1421),(-1.24344978758e-14 1629),(-1.7763568394e-15 1837),(0.0 2034),(-1.7763568394e-15 2235),(-8.881784197e-16 2441),(-0.214552400733 2608),(1.68753899743e-14 2844),(-6.2172489379e-15 3033),(-2.6645352591e-15 3246),(-1.7763568394e-15 3452),(1.06581410364e-14 3647),(6.2172489379e-15 3854),(2.6645352591e-15 4058),(1.86517468137e-14 4254),(3.5527136788e-15 4448),(1.95399252334e-14 4652),(1.7763568394e-15 4860),(5.3290705182e-15 5055),(-8.881784197e-16 5257),(-0.0133083343107 5454),(-0.0939555991557 5660),
Point2,H1,(29.9066467858 41),(27.8524707008 252),(28.0643442637 445),(28.5065780149 651),(28.7038221259 859),(26.8073646408 1056),(27.5785358928 1260),(28.8520596675 1467),(28.1051624994 1676),(27.8845447997 1870),(28.7842764212 2074),(26.3232511485 2270),(27.0265272606 2475),(27.3794362474 2683),(26.074766037 2892),(28.261271472 3082),(28.511839759 3291),(25.66586241 3487),(26.0890139787 3691),(27.267484928 3902),(25.275202725 4093),(26.6122120736 4297),(26.3029753138 4491),(27.4583166708 4698),(24.8621908445 4907),(23.1677550125 5100),(22.6208530224 5293),(24.0278619733 5500),
Point2,H2,,(15.2022191052 287),,(13.1362920253 697),(16.2349751262 895),(13.4903452267 1098),(13.6371604328 1307),,,(12.2779999277 1913),,(13.38840981 2314),,,(13.4751345006 2926),,(6.98007308058 3385),,,,(13.4943819955 4138),,,,(13.0421956337 4940),,,,
Point2,H3,,(15.2140091148 290),,(13.4475223562 705),(16.2352038926 896),(14.0274269505 1107),(13.8790874329 1314),,,(13.0942054131 1923),,(13.8061913498 2323),,,(13.5204213336 2930),,(7.00257544967 3390),,,,(13.9809696703 4147),,,,(13.2583504881 4948),,,,
Point2,H4,,(2.31157628222 393),,(2.56063572791 788),(2.6236489108 996),(0.324758384584 1206),(2.83822718864 1395),,(3.32962646287 1817),(3.55655364457 2000),(2.05889798605 2213),(1.7628148541 2422),,,,,(3.35777632718 3430),(14.6285511887 3534),,(6.85429316735 3990),(3.08372879523 4229),,,(2.84902424452 4833),(5.76026858156 4990),,,,
Point2,H5,,(2.31315834681 395),,(3.13903311203 799),(3.34827860033 1007),(1.11712755492 1217),(3.07167025464 1405),,(3.33538978748 1819),(3.56316713427 2003),(2.75115577207 2224),(1.97743963343 2431),,,,,(3.44562751093 3437),(14.6325316029 3536),,(6.85492610889 3992),(3.2920610909 4237),,,(2.94354965194 4840),(6.21688958685 5005),,,,
Point2,H6,(1.06581410364e-14 206),(1.7763568394e-15 413),(5.3290705182e-15 615),(-1.7763568394e-15 816),(-1.7763568394e-15 1023),(-1.95399252334e-14 1229),(-2.13162820728e-14 1425),(-0.00186761668522 1631),(-1.7763568394e-14 1838),(-1.42108547152e-14 2037),(-1.06581410364e-14 2239),(-1.7763568394e-15 2445),(2.30926389122e-14 2643),(1.42108547152e-14 2846),(8.881784197e-15 3045),(1.42108547152e-14 3249),(8.881784197e-15 3455),(-5.3290705182e-15 3652),(-5.3290705182e-15 3856),(0.0 4060),(1.06581410364e-14 4256),(7.1054273576e-15 4452),(-5.3290705182e-15 4656),(3.5527136788e-15 4862),(-7.1054273576e-15 5056),(1.24344978758e-14 5259),(6.2172489379e-15 5458),(-2.30835746664 5663),
Point3,H1,(33.1121326209 40),(30.204040421 254),(30.1636564935 445),(30.8181544434 651),(31.7359705518 860),(29.0509380212 1056),(30.5781795491 1261),(31.8017759957 1467),(30.9804974718 1678),(30.6295506932 1870),(31.1109862959 2075),(28.7422618239 2271),(28.8964497531 2476),(29.3179594994 2683),(28.6771509771 2892),(29.9089553789 3082),(30.8968205142 3291),(27.1031601613 3501),(27.5886317344 3692),(28.6015315964 3902),(26.4775450768 4094),(28.5628504885 4298),(27.2037733539 4492),(28.8559123929 4699),(26.2800365034 4908),(24.2178809075 5100),(23.2552689829 5295),(26.0166450619 5501),
Point3,H2,,,,(15.4845384425 697),,,(16.1850951928 1308),(5.81690308901 1580),(6.49397985179 1788),(14.5338752991 1913),,(15.5340191748 2314),,,,(15.144283266 3130),(3.35501919613 3431),(15.7134724571 3532),(13.175191779 3740),,,,,(17.7939102043 4744),,,,,
Point3,H3,,,,(15.8698601556 705),,,(16.3056216516 1313),(5.82453473745 1583),(6.50735977483 1791),(15.2446636 1923),,(15.9882710736 2322),,,,(15.3309085706 3138),(3.44300045483 3437),(15.8598866876 3539),(13.1968406425 3743),,,,,(17.8655149318 4750),,,,,
Point3,H4,,(2.75902680367 390),,(2.89166896167 787),(2.94851770363 996),,(3.5020853411 1396),(3.55420654332 1605),(4.04566697119 1816),(3.94213264821 2001),(2.7522896807 2213),(1.95137548878 2424),,,,(3.57611604569 3221),(-7.1054273576e-15 3455),,(3.13594598304 3830),,,,,(3.36783657114 4832),,,,,
Point3,H5,,(2.95485539633 398),,(3.7817413577 800),(3.75223760696 1008),,(3.7727532786 1405),(4.2331255915 1615),(4.05392839004 1819),(3.96753875346 2006),(3.17419079923 2223),(1.9865663562 2429),,,,(3.80696509381 3229),(26.6784402596 3489),,(3.24072276903 3837),,,,,(3.46813314696 4840),,,,,
Point3,H6,(1.24344978758e-14 207),(1.7763568394e-15 414),(1.59872115546e-14 616),(2.30926389122e-14 816),(1.24344978758e-14 1023),(2.30926389122e-14 1229),(1.7763568394e-14 1426),(8.881784197e-15 1632),(3.5527136788e-15 1839),(2.84217094304e-14 2039),(3.5527136788e-15 2239),(7.1054273576e-15 2445),(-1.59872115546e-14 2643),(3.5527136788e-15 2846),(-1.24344978758e-14 3046),(1.59872115546e-14 3249),(-7.1054273576e-15 3455),(-3.5527136788e-15 3653),(1.24344978758e-14 3856),(-8.881784197e-15 4061),(2.30926389122e-14 4256),(-1.59872115546e-14 4453),(3.19744231092e-14 4656),(-3.5527136788e-15 4862),(3.5527136788e-15 5057),(1.06581410364e-14 5260),(-0.0113957703085 5457),(-0.196998750374 5662),
Point4,H1,(22.1296431951 37),(21.2233091363 251),(19.3606704813 443),(21.8414630422 651),(22.4145187535 858),(20.3871109473 1061),(22.6276513772 1261),(22.0631830519 1466),(22.952119707 1679),(22.9536768968 1868),(21.4270997598 2074),(21.3339752281 2270),(19.2432226774 2476),(19.7697836432 2681),(21.2441013417 2892),(18.4687236939 3082),(21.6093757702 3291),(18.3474223624 3501),(17.5840612282 3694),(18.9682260338 3901),(18.2845132349 4094),(18.8842652548 4297),(16.7061053853 4490),(18.5662174395 4696),(18.0737222776 4902),(15.2478292228 5099),(14.53405081 5308),(17.3561977884 5498),
Point4,H2,,,(18.7249266981 453),,,(11.9437680436 1097),,(4.63479408992 1575),(5.9548212473 1783),,,,,,,(6.00735028033 3163),,,,,(10.8933978602 4136),,,(12.9044658707 4741),,(5.69670465783 5189),,,
Point4,H3,,,(18.8716980822 460),,,(11.9897972166 1102),,(4.95217568721 1585),(6.11473474617 1791),,,,,,,(6.08359220638 3170),,,,,(11.0650498403 4144),,,(13.0997318181 4750),,(5.71570470363 5194),,,
Point4,H4,,,,(2.75216483895 790),(1.84088201229 991),(2.5028150889 1203),(1.2155555941 1396),(2.61441559987 1605),(3.47578198231 1814),(4.3948713987 1970),(2.63868558831 2212),(0.655301405002 2423),(0.341491056004 2607),,,(2.76362558287 3217),,,,,(1.98389172155 4227),,,(2.04734769446 4822),,(-0.00932696787564 5258),(1.324271883 5369),,
Point4,H5,,,,(2.75240996209 791),(2.89633472235 1006),(2.51964784322 1207),(1.6712355262 1407),(2.92822440078 1613),(3.53635850564 1819),(4.40116188298 1974),(2.69224091455 2218),(0.688399187073 2428),(0.514646145683 2618),,,(3.02411235041 3227),,,,,(2.32328089252 4237),,,(3.53879193927 4839),,(14.2933250433 5294),(2.20436972749 5397),,
Point4,H6,(-0.0428123720508 143),(-1.42108547152e-14 206),(-5.3290705182e-15 412),(-1.7763568394e-15 615),(1.42108547152e-14 813),(-7.1054273576e-15 1022),(-1.7763568394e-14 1228),(-7.1054273576e-15 1424),(1.7763568394e-15 1630),(3.5527136788e-15 1837),(3.5527136788e-15 2036),(7.1054273576e-15 2237),(1.50990331349e-14 2441),(-0.00650426716844 2637),(1.59872115546e-14 2844),(1.24344978758e-14 3036),(-7.1054273576e-15 3247),(5.3290705182e-15 3453),(-0.00114706582384 3647),(-1.42108547152e-14 3853),(-1.7763568394e-14 4059),(7.1054273576e-15 4255),(8.881784197e-15 4451),(-1.15463194561e-14 4652),(-1.06581410364e-14 4861),(9.7699626167e-15 5054),(-0.00932696787564 5258),(-0.013877149344 5425),(-1.7145793041 5657),
