Cycle,0.748968421053
Average Width,5.36952810448
Width,,5.47768146751,5.85745845604,5.51710665833,5.57112774646,5.31729157675,5.40422433935,5.24880115024,5.38882287495,5.23292579147,5.36042009752,5.33041647252,5.41817859675,5.43764824914,5.20640952834,5.74036752531,5.32976251027,5.60103988199,5.2822513876,4.88209015622,5.40568515944
Point2,H1,(16.5169666339 36),(16.2355338881 190),(17.619784376 334),(20.3866914145 491),(20.3689801409 635),(19.3396045287 791),(18.9091290091 937),(20.6019929315 1086),(20.2217978924 1259),(19.8225994973 1420),(20.2311750849 1579),(18.5184136933 1752),(20.7968828258 1914),(21.3047707415 2089),(19.1047875789 2264),(17.8474473231 2429),(19.0344433805 2601),(17.537587053 2763),(16.5436257537 2919),(15.9943128347 3067),
Point2,H2,(4.01555583364 77),(5.00479724219 226),(5.81985146682 378),,,(7.05409821602 827),,,,,,,,,,,,,,
Point2,H3,(4.1274019521 83),(5.19013525708 234),(6.44203066197 388),,,(7.22962040311 835),,,,,,,,,,,,,,
Point2,H4,(0.497053596436 128),(0.988727283351 277),(2.24248832177 421),,(2.03503884719 721),(1.38870062389 868),(1.34833694694 1030),(2.74815480002 1186),(0.280300611293 1363),(6.52649786329 1465),(2.5330080248 1686),,,(1.54713087282 2197),(1.18043000015 2370),(5.56889531466 2503),,,,
Point2,H5,(0.969297812192 143),(1.39394599157 288),(2.3830884081 430),,(2.68114323648 735),(1.85197241723 880),(1.91550070816 1041),(3.62621738289 1199),(1.1724697831 1377),(6.77539446848 1474),(2.63268110097 1693),,,(1.89706050474 2207),(2.18146781958 2384),(5.59975401605 2508),,,,
Point2,H6,(-1.7763568394e-15 156),(2.6645352591e-15 302),(-0.00394233634064 448),(1.7763568394e-15 595),(3.5527136788e-15 753),(4.4408920985e-15 897),(-1.7763568394e-15 1055),(-5.3290705182e-15 1217),(-1.06581410364e-14 1389),(-6.2172489379e-15 1546),(1.7763568394e-15 1713),(0.0 1881),(4.4408920985e-15 2044),(1.06581410364e-14 2224),(-5.3290705182e-15 2399),(-9.7699626167e-15 2550),(3.5527136788e-15 2733),(-0.00564001375676 2890),(-8.881784197e-16 3038),
Point3,H1,(11.845251356 39),(13.4402847953 193),(13.8656534143 333),(16.4321599177 494),(14.9170930269 636),(14.498772589 793),(13.4135920879 937),(15.6253687592 1086),(14.9240252939 1256),(15.7767083719 1421),(15.700254316 1581),(15.3495806578 1754),(17.34778493 1917),(17.0545786522 2090),(17.6229217551 2265),(13.6762673496 2431),(16.699609598 2602),(12.446981752 2762),(13.8334572722 2919),(7.40682503434 3067),
Point3,H2,,(2.51057685819 252),(5.22185493452 381),,,,,,,(5.21897635338 1465),(6.83468405619 1624),,(3.05839971794 1994),(7.5875187475 2136),(8.69939237201 2300),,,(5.66213742559e-15 2806),(6.3973079783 2960),,
Point3,H3,,(2.51514030951 255),(5.65636745776 396),,,,,,,(5.75196701167 1476),(6.93708111166 1632),,(3.35830849274 2003),(7.81997339398 2145),(8.87107515591 2309),,,(1.62145969423 2822),(7.99857293114 2976),,
Point3,H4,,(0.751632210505 279),(2.8109563939 425),,(0.983808816041 722),(5.13563201183 827),(0.576695086725 1033),(1.26668073623 1189),(0.187223039533 1364),(0.611980540435 1531),(1.61138658088 1684),,(0.752658028682 2025),(2.09322256506 2198),(2.01202153706 2368),,,(0.758389870481 2837),(-0.122395709738 3003),,
Point3,H5,,(1.05096013293 289),(2.93357691287 432),,(1.94532137821 738),(5.5109015855 837),(0.879662896059 1042),(1.79739470168 1201),(0.418619743615 1377),(0.627110124869 1535),(1.96844908073 1696),,(1.03089144752 2035),(2.27760122969 2207),(2.61669210382 2383),,,(2.85737587694 2858),(0.722026651523 3015),,
Point3,H6,(1.7763568394e-15 132),(8.881784197e-16 303),(1.33226762955e-14 451),(-0.00591785588999 599),(7.9936057773e-15 754),(2.04281036531e-14 895),(-1.7763568394e-15 1054),(-3.5527136788e-15 1217),(-0.000721583286412 1387),(4.4408920985e-15 1548),(5.3290705182e-15 1715),(1.7763568394e-15 1883),(-8.881784197e-16 2051),(-2.6645352591e-15 2227),(-8.881784197e-16 2401),(-0.0196254156967 2569),(-0.0559911516183 2736),(5.66213742559e-15 2806),(-0.0623338710416 2883),(-2.76779482864 3038),
Point4,H1,(5.87742355269 71),(7.2616572436 222),(6.01857395312 379),(8.26530221661 520),(6.74426215498 663),(7.05915838817 822),(6.30039117068 992),(7.53725305267 1110),(6.42654977002 1283),(7.32314104036 1445),(7.23092628843 1609),(7.41171664407 1781),(9.49888998963 1944),(7.84841684097 2116),(9.15336197017 2293),(6.9264881728 2472),(8.84660799016 2628),(5.29611250131 2786),(5.75691919234 2942),(5.88222571765 3003),(3.42241624298 3094),
Point4,H2,(2.52733956515 101),(0.562622849148 265),(2.92534964429 409),,(3.11279413495 703),(2.59027931811 855),,(1.28855958478 1186),,,(3.8612488049 1644),,(1.68758216712 2021),(3.93155239104 2160),(4.76364251596 2322),,(7.41906574037 2643),(4.88498130835e-15 2831),,,
Point4,H3,(2.63582982358 109),(1.5055716518 285),(3.82305384083 429),,(3.24036813092 713),(2.72132418514 865),,(1.59205895262 1198),,,(3.98503989097 1655),,(1.7549644239 2027),(4.375615165 2174),(5.52287367942 2338),,(8.22286259072 2658),(1.60170721074 2849),,,
Point4,H4,(-0.00103432678195 145),(-0.0378542592078 306),,,(0.924625419661 747),(9.7699626167e-15 918),,(0.613953111729 1217),,,(0.666545026894 1708),(2.73753093056 1863),(2.6645352591e-15 2050),(0.935074765428 2223),(1.33438147266 2386),,(1.90529646651 2733),(0.662045629351 2864),,,
Point4,H5,(0.584706827419 169),(0.299351170859 319),,,(1.57980091674 763),(5.31004728947 960),,(0.924814932323 1229),,,(1.16458498727 1724),(2.75364750887 1869),(0.314343282928 2063),(0.966178076596 2229),(1.63822695143 2406),,(1.94620472866 2740),(1.49378719859 2881),,,
Point4,H6,(-0.00103432678195 145),(-0.0378542592078 306),(5.3290705182e-15 478),(9.7699626167e-15 627),(9.32587340685e-15 783),(9.7699626167e-15 918),(1.28785870857e-14 1059),(-0.00627778566019 1245),(-0.120839226479 1389),(8.43769498715e-15 1578),(4.88498130835e-15 1744),(5.3290705182e-15 1912),(-0.0796638638902 2078),(5.3290705182e-15 2254),(3.5527136788e-15 2428),(-0.357861145734 2564),(-0.0555406436182 2764),(4.88498130835e-15 2831),(-0.0629018224506 2905),(-0.512277087971 3062),
