Cycle,0.738055555556
Average Width,5.17069470131
Width,,4.85058465664,5.14840620694,4.88568765928,5.05129256725,4.6157052899,5.11866316108,4.97100695179,5.26320695831,4.70431340033,5.08859927817,5.03270922533,5.42880001003,5.28699678507,5.21706929713,5.05650399189,5.18119396232,4.73257817454,4.69324374991,6.34335681404,4.92468281996,5.1687227078,5.154364459,5.15208756758,5.23856376664,5.58883550356,5.8130046506,6.20820490255,6.16954266421
Point1,H5,(1.57886364434 130),(2.98086304658 289),(2.96159667224 449),(2.33882128039 582),(1.84594723195 754),(3.64200789728 911),(2.57902028293 1072),(3.29861872766 1234),(8.45982448282 1329),(2.69444609398 1536),(2.24375726853 1678),(1.79224128236 1841),(2.26336927804 1982),(2.69897546861 2146),(2.18138057578 2279),(2.91140371271 2449),,(1.45840861872 2753),(12.573837282 2849),(3.11566052779 3058),(1.61113312835 3194),(1.50508342857 3362),(2.18572472688 3519),(2.10438985012 3653),(7.28505256593 3768),(2.52339188097 3966),(11.3837388872 4064),,
Point1,H6,(-0.0419537373275 1),(-0.00635851712994 146),(9.7699626167e-15 307),(1.50990331349e-14 465),(1.24344978758e-14 617),(-0.00744428478433 769),(9.7699626167e-15 929),(8.881784197e-16 1089),(-0.00343907807771 1250),(6.2172489379e-15 1403),(5.3290705182e-15 1553),(6.2172489379e-15 1698),(8.881784197e-15 1855),(-0.00668876803412 2005),(-5.3290705182e-15 2161),(-0.000941224619867 2309),(-8.881784197e-16 2466),(-1.42108547152e-14 2618),(-4.4408920985e-15 2767),(-0.00256265668181 2923),(0.0 3075),(-8.881784197e-15 3216),(-3.5527136788e-15 3380),(-6.2172489379e-15 3536),(-4.4408920985e-15 3691),(1.7763568394e-15 3834),(6.2172489379e-15 3985),(-0.0113276163041 4131),
Point2,H1,(12.0335363605 28),(13.4062736096 182),(13.2828043466 339),(12.9121643842 493),(13.6324517348 649),(14.8418328081 805),(14.3141718777 958),(14.6538458702 1119),(13.8599247861 1277),(13.3594496798 1432),(14.1313696733 1582),(14.6432356339 1733),(14.6867321112 1882),(14.296389648 2038),(14.501544771 2189),(14.4327872687 2344),(12.7560889263 2498),(12.1048864483 2649),(15.9518732162 2798),(14.0123447505 2953),(13.5968843694 3106),(13.8427827254 3254),(13.9515693883 3415),(13.5110771364 3564),(12.9285952186 3720),(15.4356222143 3867),(16.4647370566 4017),(15.9618040588 4167),
Point2,H2,(4.96584746475 63),(5.97713604015 209),(4.58311326972 368),,(6.11317257297 676),(6.79897551361 834),(6.06684144686 994),(6.67763107608 1152),(5.75223827855 1311),(4.17270796318 1457),(5.907865819 1616),(6.38327143469 1760),(6.51669983433 1912),(6.19514308965 2062),,(6.90889508058 2370),(5.17171691228 2531),(3.55383251005 2678),,(6.91892045201 2979),(5.67053587867 3136),(5.92292231657 3280),(6.61297815696 3439),(5.29196059022 3599),,(7.94120328248 3899),(9.18092373201 4046),,
Point2,H3,(5.63990348192 78),(8.14732556109 229),(6.49726861224 389),,(7.32401744903 700),(8.42494498423 853),(7.18340475936 1011),(7.76389152792 1169),(7.7408830918 1330),(7.05238816277 1482),(7.10176019463 1633),(8.20704397617 1781),(8.48232440421 1934),(7.81896388591 2081),,(7.60657691904 2394),(6.43493852392 2547),(6.00125723044 2698),,(7.86921689138 3003),(7.17004835223 3153),(6.56633965364 3294),(7.13337799791 3451),(6.08186841616 3614),,(9.10720191365 3917),(10.5253833357 4063),,
Point2,H4,(6.2172489379e-15 115),(1.19366838763 276),(1.49772936879 435),(5.013281869 523),(1.26090205771 740),(2.25138982115 898),(0.898897814551 1058),(2.23936831082 1218),(2.40900176002 1363),(1.69472527207 1525),(1.97949345471 1667),(1.65448863093 1828),(1.01745167956 1971),(1.90956242338 2133),(5.7479685562 2225),(1.57028672461 2435),(-0.00138551252691 2601),(1.53933437877 2739),(10.0123465436 2834),(1.78789076053 3043),(1.09954790586 3188),(-0.106009812763 3342),(1.96626343445 3508),(1.56768493072 3648),(4.20575948537 3744),(2.23917415746 3962),(3.03800547596 4104),,
Point2,H5,(1.06448153213 133),(2.3329772718 291),(2.47225444058 450),(6.52700811282 541),(1.47382891836 750),(3.31922240085 913),(2.23677583911 1075),(2.98260082995 1233),(2.87871537706 1375),(2.35456419926 1538),(2.39737604808 1679),(2.32065092626 1841),(1.77533914523 1985),(2.45179532872 2145),(6.16453299244 2238),(2.93715962897 2450),(0.494602135596 2613),(1.96570872406 2752),(10.5690130221 2848),(3.49786288865 3059),(1.19598624998 3196),(1.14240228378 3362),(2.37341883926 3520),(1.80076757784 3658),(7.02343943213 3770),(2.28073051082 3967),(3.04761856038 4108),,
Point2,H6,(-0.0426858302238 1),(6.2172489379e-15 115),(-8.881784197e-16 307),(-2.6645352591e-15 466),(-8.881784197e-16 618),(-8.881784197e-16 769),(-9.7699626167e-15 931),(2.6645352591e-15 1090),(-6.2172489379e-15 1250),(-2.6645352591e-15 1403),(-7.9936057773e-15 1554),(-1.15463194561e-14 1699),(-4.4408920985e-15 1857),(5.3290705182e-15 2005),(1.7763568394e-15 2161),(2.6645352591e-15 2298),(-3.5527136788e-15 2468),(-0.00138551252691 2601),(-6.2172489379e-15 2768),(-7.9936057773e-15 2924),(-1.42108547152e-14 3076),(-6.2172489379e-15 3216),(-0.106009812763 3342),(1.42108547152e-14 3537),(1.06581410364e-14 3691),(3.5527136788e-15 3838),(2.6645352591e-15 3985),(-0.00214420719348 4134),
Point3,H1,(6.88972038816 29),(8.19745290924 183),(7.56073413295 339),(7.623033802 493),(7.5884477194 650),(9.9642237155 805),(8.86558023342 957),(10.2970217192 1119),(8.11809539025 1278),(8.3397197891 1431),(9.10560907875 1583),(10.1014222411 1733),(9.7029290484 1882),(9.88742912774 2038),(9.65639139687 2189),(9.09512402923 2343),(7.45348710915 2497),(7.32803341341 2649),(11.5351431115 2797),(9.43761087626 2953),(9.18514240048 3106),(10.3272452016 3254),(10.6658063803 3415),(9.9943955361 3564),(9.72532120492 3719),(12.2407820572 3867),(13.0805182052 4016),(12.8207249401 4167),
Point3,H2,(3.59526916842 69),(4.50720461601 210),(2.47436720843 369),(3.23353729568 524),(4.17437628388 679),(4.95409077562 833),(4.1247383532 999),(4.8122742441 1152),(3.5693272022 1308),(3.07249015937 1456),(3.94417083075 1616),(4.73921940927 1761),(4.61211245362 1910),(4.72409958842 2061),,(4.85752263451 2370),(3.34841292118 2530),(2.37173055176 2678),,(5.36105109448 2979),,(4.82771867559 3282),(5.27828956914 3438),(3.64320920277 3598),,(6.90290375247 3899),(7.79138637162 4045),,
Point3,H3,(3.63117111256 75),(5.23164186154 227),(3.610460279 390),(4.09392298121 542),(5.20875787767 700),(6.05223774422 851),(4.56429565433 1012),(4.94479711891 1161),(5.06966747806 1329),(4.71174274144 1482),(4.94652939886 1633),(6.17057635639 1781),(6.73585594477 1933),(5.68566881384 2077),,(5.34092840099 2392),(4.37476478647 2547),(3.9494471198 2699),,(5.96230480667 3001),,(5.006614511 3293),(5.56704315085 3448),(4.78457948142 3615),,(8.05161050131 3918),(8.74033947084 4061),,
Point3,H4,(-8.881784197e-16 116),(0.633452646023 275),(0.759889897328 433),(2.33948723268 570),(0.864457840819 742),(1.36060733277 899),(0.451252354869 1055),(1.38864391701 1209),(1.82888132629 1359),(1.57686246205 1524),(1.89987316797 1665),(1.29754534419 1827),(0.371764055621 1972),(1.35311403509 2133),(3.79637582959 2230),(1.13000259879 2435),(1.7816609885 2574),(1.39238378564 2730),(7.83001785196 2832),(1.03071856449 3043),(3.74478322616 3136),(-8.881784197e-16 3337),(1.41445009141 3509),(0.81784053345 3644),(3.59239303654 3742),(2.07982860753 3961),(2.38760591551 4104),,
Point3,H5,(1.21100751806 136),(1.46015469044 290),(1.47008755649 449),(2.43998576525 580),(0.890063932368 748),(1.8938280319 913),(1.35592242107 1073),(1.60727840099 1227),(2.02118678331 1370),(1.67055612493 1533),(2.02568961835 1673),(1.83358882508 1840),(0.837153388993 1986),(1.42761060412 2141),(3.8409213421 2238),(1.76167836001 2449),(1.78962682209 2577),(1.59688102253 2746),(8.29143100865 2847),(2.1597145419 3059),(5.00707779246 3154),(1.18756165236 3360),(1.58641800751 3519),(1.58796259158 3660),(6.02137204932 3769),(2.12287009424 3966),(2.40820050266 4109),,
Point3,H6,(-0.00560455198664 1),(-8.881784197e-16 116),(5.77315972805e-15 307),(5.77315972805e-15 465),(-0.00170578490695 615),(7.54951656745e-15 768),(7.1054273576e-15 929),(3.10862446895e-15 1088),(1.11022302463e-14 1248),(-0.000621863199683 1403),(6.2172489379e-15 1553),(3.10862446895e-15 1698),(-0.000693931489158 1857),(-0.00388316214921 2004),(8.881784197e-15 2160),(-0.000640482677987 2294),(1.7763568394e-15 2467),(-3.10862446895e-15 2600),(-0.00584548939247 2766),(-0.00168797772484 2924),(-0.00599979812076 3076),(2.22044604925e-15 3213),(-8.881784197e-16 3337),(-5.3290705182e-15 3536),(-4.88498130835e-15 3690),(2.6645352591e-15 3837),(1.7763568394e-15 3985),(4.4408920985e-15 4132),
